filename,sumber,nama_toko,tanggal_clean,tanggal_valid,nama_barang,jumlah_barang,harga_satuan,total_harga_item,kategori_harga,bulan,tahun,bulan_tahun,estimasi_laba_20
primer_0003.jpg,primer,Central Park,,False,Popmierbaso57G,1.0,1200.0,1200.0,Sangat Murah (<=5rb),,,NaT,240.0
primer_0005.jpg,primer,Titik Mula Coffee,2025-05-06,True,Steak-Brown Sauce,1.0,35000.0,35000.0,Sedang (20-50rb),5.0,2025.0,2025-05,7000.0
primer_0005.jpg,primer,Titik Mula Coffee,2025-05-06,True,Sauce,1.0,35000.0,35000.0,Sedang (20-50rb),5.0,2025.0,2025-05,7000.0
primer_0007.jpg,primer,Beepos,2023-05-24,True,Bakso,2.0,12000.0,24000.0,Murah (5-20rb),5.0,2023.0,2023-05,4800.0
primer_0007.jpg,primer,Beepos,2023-05-24,True,Cah Kangkung,3.0,7500.0,22500.0,Murah (5-20rb),5.0,2023.0,2023-05,4500.0
primer_0007.jpg,primer,Beepos,2023-05-24,True,Capjay,3.0,17000.0,51000.0,Murah (5-20rb),5.0,2023.0,2023-05,10200.0
primer_0007.jpg,primer,Beepos,2023-05-24,True,Cumi Goreng Tepung Gurih,3.0,25000.0,75000.0,Sedang (20-50rb),5.0,2023.0,2023-05,15000.0
primer_0009.jpg,primer,Cafesolooasis,,False,1 7237689F 7237690,3.0,43755.0,131265.0,Sedang (20-50rb),,,NaT,26253.0
primer_0009.jpg,primer,Cafesolooasis,,False,Moca Capucinolarge,1.0,25800.0,25800.0,Sedang (20-50rb),,,NaT,5160.0
primer_0009.jpg,primer,Cafesolooasis,,False,Icetea,3.0,56225.0,168675.0,Mahal (50-100rb),,,NaT,33735.0
primer_0009.jpg,primer,Cafesolooasis,,False,Chess Burgersalmon 168 675,1.0,23500.0,23500.0,Sedang (20-50rb),,,NaT,4700.0
primer_0011.jpg,primer,Satetongseng,2018-01-11,True,Sate Kambing,1.0,45000.0,45000.0,Sedang (20-50rb),1.0,2018.0,2018-01,9000.0
primer_0011.jpg,primer,Satetongseng,2018-01-11,True,Sate Lembu,5.0,30000.0,150000.0,Sedang (20-50rb),1.0,2018.0,2018-01,30000.0
primer_0011.jpg,primer,Satetongseng,2018-01-11,True,Tongseng Kambin,5.0,5000.0,25000.0,Sangat Murah (<=5rb),1.0,2018.0,2018-01,5000.0
primer_0011.jpg,primer,Satetongseng,2018-01-11,True,Nasi,5.0,12000.0,60000.0,Murah (5-20rb),1.0,2018.0,2018-01,12000.0
primer_0011.jpg,primer,Satetongseng,2018-01-11,True,Aneka Jus,4.0,3000.0,12000.0,Sangat Murah (<=5rb),1.0,2018.0,2018-01,2400.0
primer_0020.jpg,primer,Toko Selada,,False,Tinta Epson,1.0,80000.0,80000.0,Mahal (50-100rb),,,NaT,16000.0
primer_0020.jpg,primer,Toko Selada,,False,Dngkar Jakarta,1.0,9000.0,9000.0,Murah (5-20rb),,,NaT,1800.0
primer_0022.jpg,primer,Apaaja Yangaku Dapetdi,2024-07-21,True,Alfamartdenganuang10K,1.0,9300.0,9300.0,Murah (5-20rb),7.0,2024.0,2024-07,1860.0
primer_0022.jpg,primer,Apaaja Yangaku Dapetdi,2024-07-21,True,Cimory Bnn240Ml,2.0,2800.0,5600.0,Sangat Murah (<=5rb),7.0,2024.0,2024-07,1120.0
primer_0022.jpg,primer,Apaaja Yangaku Dapetdi,2024-07-21,True,Mieoven Iga 78G,1.0,2800.0,2800.0,Sangat Murah (<=5rb),7.0,2024.0,2024-07,560.0
primer_0025.jpg,primer,Cv.Barokah Mulia Sejati,,False,Kaget.Bangetbpas Masnya,1.0,6500.0,6500.0,Murah (5-20rb),,,NaT,1300.0
primer_0025.jpg,primer,Cv.Barokah Mulia Sejati,,False,Ff Pf Str 225Ml,1.0,10500.0,10500.0,Murah (5-20rb),,,NaT,2100.0
primer_0025.jpg,primer,Cv.Barokah Mulia Sejati,,False,Paroti B Ckt65G,1.0,4900.0,4900.0,Sangat Murah (<=5rb),,,NaT,980.0
primer_0025.jpg,primer,Cv.Barokah Mulia Sejati,,False,Sb Myk Bwg 61G,1.0,3600.0,3600.0,Sangat Murah (<=5rb),,,NaT,720.0
primer_0026.jpg,primer,Duplikat,2022-10-22,True,Kpbrdl 0.020,1.0,500.0,500.0,Sangat Murah (<=5rb),10.0,2022.0,2022-10,100.0
primer_0026.jpg,primer,Duplikat,2022-10-22,True,Wls Pl Str90Ml,1.0,5000.0,5000.0,Sangat Murah (<=5rb),10.0,2022.0,2022-10,1000.0
primer_0026.jpg,primer,Duplikat,2022-10-22,True,Sasa Snt 200Ml,1.0,10000.0,10000.0,Murah (5-20rb),10.0,2022.0,2022-10,2000.0
primer_0026.jpg,primer,Duplikat,2022-10-22,True,Md Egg Drop110G,1.0,9100.0,9100.0,Murah (5-20rb),10.0,2022.0,2022-10,1820.0
primer_0029.jpg,primer,Kota Legenda,,False,Promina Sm Ay8Sy1,1.0,14290.0,14290.0,Murah (5-20rb),,,NaT,2858.0
primer_0029.jpg,primer,Kota Legenda,,False,Promina Bb6 C/Mus,1.0,15290.0,15290.0,Murah (5-20rb),,,NaT,3058.0
primer_0029.jpg,primer,Kota Legenda,,False,Yeos Grass Jely/D,1.0,6490.0,6490.0,Murah (5-20rb),,,NaT,1298.0
primer_0029.jpg,primer,Kota Legenda,,False,Monde Boromon6X20,1.0,14290.0,14290.0,Murah (5-20rb),,,NaT,2858.0
primer_0029.jpg,primer,Kota Legenda,,False,Betadine H/W Heav,1.0,26900.0,26900.0,Sedang (20-50rb),,,NaT,5380.0
primer_0029.jpg,primer,Kota Legenda,,False,Pepsodent Pasta/G,1.0,10990.0,10990.0,Murah (5-20rb),,,NaT,2198.0
primer_0029.jpg,primer,Kota Legenda,,False,Kinder Joy F/Boys,1.0,12490.0,12490.0,Murah (5-20rb),,,NaT,2498.0
primer_0029.jpg,primer,Kota Legenda,,False,Kinder Joy F/Girl,1.0,12490.0,12490.0,Murah (5-20rb),,,NaT,2498.0
primer_0029.jpg,primer,Kota Legenda,,False,Bango Kecap Manis,1.0,16990.0,16990.0,Murah (5-20rb),,,NaT,3398.0
primer_0029.jpg,primer,Kota Legenda,,False,Yeos Grass Jely/D,1.0,6490.0,6490.0,Murah (5-20rb),,,NaT,1298.0
primer_0029.jpg,primer,Kota Legenda,,False,Engel M/Potatom,1.0,11990.0,11990.0,Murah (5-20rb),,,NaT,2398.0
primer_0029.jpg,primer,Kota Legenda,,False,M/Suka Sup Ayam55,1.0,7790.0,7790.0,Murah (5-20rb),,,NaT,1558.0
